row_type,sav_file,doi,cycle,era,fieldwork_date,precision,n,weighted,n_ballot_scenarios,ballot_candidate_sets,matched_sample_id,corpus_fieldwork,corpus_n,n_delta_raw_minus_pub,match_basis,codebook
corpus_gap,,,toronto_2014,,,,,,,,forum_city_2014_10_15_n1241,2014-10-15..2014-10-15,1241,,corpus-only (no sav),
corpus_gap,,,toronto_2014,,,,,,,,forum_city_2014_10_20_n852,2014-10-20..2014-10-20,852,,corpus-only (no sav),
corpus_gap,,,toronto_2014,,,,,,,,forum_city_2014_10_25_n986,2014-10-25..2014-10-25,986,,corpus-only (no sav),
corpus_gap,,,toronto_2022,,,,,,,,forum_city_2022_10_07_08_n1017,2022-10-07..2022-10-08,1017,,corpus-only (no sav),
corpus_gap,,,toronto_2023,,,,,,,,forum_city_2023_02_13_n1042,2023-02-13..2023-02-13,1042,,corpus-only (no sav),
corpus_gap,,,toronto_2023,,,,,,,,forum_city_2023_03_22_23_n1009,2023-03-22..2023-03-23,1009,,corpus-only (no sav),
corpus_gap,,,toronto_2023,,,,,,,,forum_city_2023_04_25_26_n1022,2023-04-25..2023-04-26,1022,,corpus-only (no sav),
corpus_gap,,,toronto_2023,,,,,,,,forum_city_2023_05_06_07_n2000,2023-05-06..2023-05-07,2000,,corpus-only (no sav),
corpus_gap,,,toronto_2023,,,,,,,,forum_city_2023_05_13_n1029,2023-05-13..2023-05-13,1029,,corpus-only (no sav),
corpus_gap,,,toronto_2023,,,,,,,,forum_city_2023_05_19_n1000,2023-05-19..2023-05-19,1000,,corpus-only (no sav),
corpus_gap,,,toronto_2023,,,,,,,,forum_city_2023_05_26_n1007,2023-05-26..2023-05-26,1007,,corpus-only (no sav),
corpus_gap,,,toronto_2023,,,,,,,,forum_city_2023_06_02_n1032,2023-06-02..2023-06-02,1032,,corpus-only (no sav),
corpus_gap,,,toronto_2023,,,,,,,,forum_city_2023_06_09_n1047,2023-06-09..2023-06-09,1047,,corpus-only (no sav),
corpus_gap,,,toronto_2023,,,,,,,,forum_city_2023_06_23_n1037,2023-06-23..2023-06-23,1037,,corpus-only (no sav),
